Disease,Description,Medication_Layman,Precautions_Layman,Pattern_Symptoms
Common Cold,Common Cold is a viral infection of the upper respiratory tract.,Drink vitamin C rich drinks and take steam inhalation.,Avoid cold foods and keep a regular check on your temperature.,"sneezing,runny nose,sore throat,cough"
Pneumonia,Pneumonia is an inflammatory condition affecting the air sacs in the lungs caused by infection.,Seek immediate medical assessment at a hospital. Antibiotics and oxygen may be required.,Rest completely and follow up with a doctor immediately. Do not attempt home care.,"shortness of breath,high fever,chest pain,rapid breathing,low oxygen"
Gastroenteritis,Gastroenteritis is an inflammation of the stomach and intestines.,Drink plenty of fluids like ORS (Oral Rehydration Solution) or clear broth.,Follow a bland diet of Bananas Rice Applesauce and Toast. Avoid solid food initially.,"nausea,vomiting,diarrhoea,abdominal pain"
Dengue,Dengue is a mosquito-borne viral infection causing severe flu-like symptoms.,Drink papaya leaf juice and stay very well hydrated. Use only Paracetamol.,Keep mosquitoes away with nets or repellents. Avoid fatty or spicy foods.,"high fever,joint pain,skin rash,headache,body ache"
Influenza (Flu),Influenza is a common viral infection that can be deadly especially in high-risk groups.,Get strict bed rest and drink plenty of fluids. Use Paracetamol for fever.,Isolate from others to prevent spread and monitor your breathing.,"high fever,cough,body ache,fatigue,headache"
Allergy,Allergy is an immune system reaction to a substance in the environment.,Avoid the trigger and use mild antihistamines if prescribed.,Apply calamine lotion to rashes and cover sensitive areas.,"sneezing,runny nose,itchy eyes,skin rash"
Migraine,Migraine is a severe headache often accompanied by nausea and sensitivity to light.,Take prescribed pain relievers and rest in a dark quiet room.,Practice meditation and reduce stress. Use polarized glasses in the sun.,"headache,nausea,dizziness,fatigue"
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,Use your prescribed inhaler and take deep calm breaths.,Get away from triggers and switch to loose clothing to breathe easier.,"shortness of breath,cough,rapid breathing"
Typhoid,Typhoid is a bacterial infection that can lead to high fever and stomach issues.,Requires antibiotic therapy prescribed by a doctor.,Eat high-calorie vegetables and stay hydrated. Consult a doctor immediately.,"high fever,headache,vomiting,abdominal pain"
Malaria,Malaria is a mosquito-borne infectious disease.,Requires prescribed antimalarial drugs and fever reducers.,Consult the nearest hospital and avoid oily or non-vegetarian foods.,"high fever,sweating,body ache,headache"
